	D1-35	D10-7	D11-1	D2-1-6	D2-2	D3-D-27	D3-K-57	D4-185	D5-8	D6-5	D7-157	D8-8	D9-4
OG0034435		genemark-SEQ_607381-processed-gene-0.21-mRNA-1											
OG0034436		genemark-SEQ_607381-processed-gene-0.19-mRNA-1											
OG0034437		maker-SEQ_607381-augustus-gene-0.30-mRNA-1											
OG0034438		augustus_masked-SEQ_606902-processed-gene-0.2-mRNA-1											
OG0034439		maker-SEQ_607303-augustus-gene-0.13-mRNA-1											
OG0034440		genemark-SEQ_607288-processed-gene-0.8-mRNA-1											
OG0034441		genemark-SEQ_607288-processed-gene-0.10-mRNA-1											
OG0034442		maker-SEQ_607310-augustus-gene-0.36-mRNA-1											
OG0034443		maker-SEQ_607019-augustus-gene-0.7-mRNA-1											
OG0034444		genemark-SEQ_607048-processed-gene-0.10-mRNA-1											
OG0034445		maker-SEQ_607130-augustus-gene-0.11-mRNA-1											
OG0034446		maker-SEQ_607153-augustus-gene-0.9-mRNA-1											
OG0034447		genemark-SEQ_607000-processed-gene-0.5-mRNA-1											
OG0034448		maker-SEQ_607027-augustus-gene-0.32-mRNA-1											
OG0034449		augustus_masked-SEQ_607365-processed-gene-0.4-mRNA-1											
OG0034450		maker-SEQ_607365-augustus-gene-0.28-mRNA-1											
OG0034451		maker-SEQ_607296-augustus-gene-0.22-mRNA-1											
OG0034452		augustus_masked-SEQ_607319-processed-gene-0.1-mRNA-1											
OG0034453		genemark-SEQ_607319-processed-gene-0.6-mRNA-1											
OG0034454		genemark-SEQ_607236-processed-gene-0.3-mRNA-1											
OG0034455		genemark-SEQ_607045-processed-gene-0.7-mRNA-1											
OG0034456		genemark-SEQ_607234-processed-gene-0.0-mRNA-1											
OG0034457		genemark-SEQ_607275-processed-gene-0.8-mRNA-1											
OG0034458		maker-SEQ_607094-augustus-gene-0.22-mRNA-1											
OG0034459		augustus_masked-SEQ_607089-processed-gene-0.3-mRNA-1											
OG0034460		genemark-SEQ_607314-processed-gene-0.3-mRNA-1											
OG0034461		genemark-SEQ_607090-processed-gene-0.6-mRNA-1											
OG0034462		maker-SEQ_607038-augustus-gene-0.25-mRNA-1											
OG0034463		genemark-SEQ_607315-processed-gene-0.3-mRNA-1											
OG0034464		maker-SEQ_607300-augustus-gene-0.5-mRNA-1											
OG0034465		maker-SEQ_606937-augustus-gene-0.28-mRNA-1											
OG0034466		maker-SEQ_607125-augustus-gene-0.20-mRNA-1											
OG0034467		augustus_masked-SEQ_607160-processed-gene-0.0-mRNA-1											
OG0034468		maker-SEQ_606952-augustus-gene-0.15-mRNA-1											
OG0034469		genemark-SEQ_607679-processed-gene-0.28-mRNA-1											
OG0034470		genemark-SEQ_607616-processed-gene-0.12-mRNA-1											
OG0034471		maker-SEQ_607686-augustus-gene-0.12-mRNA-1											
OG0034472		genemark-SEQ_607788-processed-gene-0.13-mRNA-1											
OG0034473		genemark-SEQ_607631-processed-gene-0.6-mRNA-1											
OG0034474		genemark-SEQ_607711-processed-gene-0.5-mRNA-1											
OG0034475		genemark-SEQ_607819-processed-gene-0.2-mRNA-1											
OG0034476		genemark-SEQ_607855-processed-gene-0.7-mRNA-1											
OG0034477		genemark-SEQ_607413-processed-gene-0.17-mRNA-1											
OG0034478		genemark-SEQ_607670-processed-gene-0.18-mRNA-1											
OG0034479		genemark-SEQ_607575-processed-gene-0.3-mRNA-1											
OG0034480		genemark-SEQ_607437-processed-gene-0.3-mRNA-1											
OG0034481		augustus_masked-SEQ_607582-processed-gene-0.0-mRNA-1											
OG0034482		maker-SEQ_607457-augustus-gene-0.4-mRNA-1											
OG0034483		maker-SEQ_607791-augustus-gene-0.41-mRNA-1											
OG0034484		maker-SEQ_607818-augustus-gene-0.13-mRNA-1											
OG0034485		augustus_masked-SEQ_607467-processed-gene-0.1-mRNA-1											
OG0034486		genemark-SEQ_607475-processed-gene-0.28-mRNA-1											
OG0034487		genemark-SEQ_607627-processed-gene-0.17-mRNA-1											
OG0034488		augustus_masked-SEQ_607709-processed-gene-0.1-mRNA-1											
OG0034489		genemark-SEQ_607883-processed-gene-0.38-mRNA-1											
OG0034490		maker-SEQ_607485-augustus-gene-0.8-mRNA-1											
OG0034491		genemark-SEQ_607607-processed-gene-0.13-mRNA-1											
OG0034492		genemark-SEQ_607823-processed-gene-0.11-mRNA-1											
OG0034493		augustus_masked-SEQ_607823-processed-gene-0.2-mRNA-1											
OG0034494		genemark-SEQ_607763-processed-gene-0.6-mRNA-1											
OG0034495		genemark-SEQ_607459-processed-gene-0.12-mRNA-1											
OG0034496		maker-SEQ_607511-augustus-gene-0.15-mRNA-1											
OG0034497		augustus_masked-SEQ_607464-processed-gene-0.1-mRNA-1											
OG0034498		genemark-SEQ_608082-processed-gene-0.2-mRNA-1											
OG0034499		maker-SEQ_608066-augustus-gene-0.23-mRNA-1											
OG0034500		genemark-SEQ_608254-processed-gene-0.2-mRNA-1											
OG0034501		genemark-SEQ_607939-processed-gene-0.1-mRNA-1											
OG0034502		genemark-SEQ_608186-processed-gene-0.3-mRNA-1											
OG0034503		genemark-SEQ_608134-processed-gene-0.8-mRNA-1											
OG0034504		maker-SEQ_608206-augustus-gene-0.5-mRNA-1											
OG0034505		augustus_masked-SEQ_608326-processed-gene-0.2-mRNA-1											
OG0034506		genemark-SEQ_608112-processed-gene-0.1-mRNA-1											
OG0034507		augustus_masked-SEQ_608037-processed-gene-0.0-mRNA-1											
OG0034508		augustus_masked-SEQ_608143-processed-gene-0.9-mRNA-1											
OG0034509		augustus_masked-SEQ_608137-processed-gene-0.0-mRNA-1											
OG0034510		genemark-SEQ_608233-processed-gene-0.13-mRNA-1											
OG0034511		genemark-SEQ_608209-processed-gene-0.2-mRNA-1											
OG0034512		augustus_masked-SEQ_608022-processed-gene-0.8-mRNA-1											
OG0034513		maker-SEQ_608070-augustus-gene-0.30-mRNA-1											
OG0034514		maker-SEQ_608070-augustus-gene-0.31-mRNA-1											
OG0034515		genemark-SEQ_608382-processed-gene-0.11-mRNA-1											
OG0034516		genemark-SEQ_608099-processed-gene-0.4-mRNA-1											
OG0034517		genemark-SEQ_607904-processed-gene-0.2-mRNA-1											
OG0034518		maker-SEQ_608316-augustus-gene-0.14-mRNA-1											
OG0034519		augustus_masked-SEQ_608316-processed-gene-0.8-mRNA-1											
OG0034520		maker-SEQ_608081-augustus-gene-0.15-mRNA-1											
OG0034521		augustus_masked-SEQ_607980-processed-gene-0.5-mRNA-1											
OG0034522		augustus_masked-SEQ_608349-processed-gene-0.0-mRNA-1											
OG0034523		augustus_masked-SEQ_608033-processed-gene-0.0-mRNA-1											
OG0034524		augustus_masked-SEQ_607983-processed-gene-0.3-mRNA-1											
OG0034525		genemark-SEQ_607983-processed-gene-0.10-mRNA-1											
OG0034526		maker-SEQ_608003-augustus-gene-0.10-mRNA-1											
OG0034527		augustus_masked-SEQ_608044-processed-gene-0.1-mRNA-1											
OG0034528		augustus_masked-SEQ_608332-processed-gene-0.0-mRNA-1											
OG0034529		genemark-SEQ_608187-processed-gene-0.1-mRNA-1											
OG0034530		genemark-SEQ_608177-processed-gene-0.29-mRNA-1											
OG0034531		augustus_masked-SEQ_608122-processed-gene-0.5-mRNA-1											
OG0034532		genemark-SEQ_608398-processed-gene-0.4-mRNA-1											
OG0034533		genemark-SEQ_608570-processed-gene-0.6-mRNA-1											
OG0034534		maker-SEQ_608423-augustus-gene-0.11-mRNA-1											
OG0034535		genemark-SEQ_608451-processed-gene-0.7-mRNA-1											
OG0034536		genemark-SEQ_608670-processed-gene-0.10-mRNA-1											
OG0034537		genemark-SEQ_608790-processed-gene-0.12-mRNA-1											
OG0034538		maker-SEQ_608676-augustus-gene-0.9-mRNA-1											
OG0034539		maker-SEQ_608676-augustus-gene-0.10-mRNA-1											
OG0034540		genemark-SEQ_608609-processed-gene-0.2-mRNA-1											
OG0034541		genemark-SEQ_608456-processed-gene-0.1-mRNA-1											
OG0034542		genemark-SEQ_608563-processed-gene-0.13-mRNA-1											
OG0034543		maker-SEQ_608517-augustus-gene-0.23-mRNA-1											
OG0034544		augustus_masked-SEQ_608716-processed-gene-0.1-mRNA-1											
OG0034545		genemark-SEQ_608568-processed-gene-0.11-mRNA-1											
OG0034546		augustus_masked-SEQ_608532-processed-gene-0.0-mRNA-1											
OG0034547		genemark-SEQ_608834-processed-gene-0.5-mRNA-1											
OG0034548		maker-SEQ_608888-augustus-gene-0.6-mRNA-1											
OG0034549		genemark-SEQ_608879-processed-gene-0.3-mRNA-1											
OG0034550		genemark-SEQ_608879-processed-gene-0.1-mRNA-1											
OG0034551		genemark-SEQ_608602-processed-gene-0.10-mRNA-1											
OG0034552		augustus_masked-SEQ_608500-processed-gene-0.1-mRNA-1											
OG0034553		genemark-SEQ_608864-processed-gene-0.4-mRNA-1											
OG0034554		genemark-SEQ_608453-processed-gene-0.17-mRNA-1											
OG0034555		augustus_masked-SEQ_608893-processed-gene-0.0-mRNA-1											
OG0034556		genemark-SEQ_608998-processed-gene-0.3-mRNA-1											
OG0034557		augustus_masked-SEQ_609273-processed-gene-0.7-mRNA-1											
OG0034558		genemark-SEQ_609044-processed-gene-0.7-mRNA-1											
OG0034559		genemark-SEQ_609289-processed-gene-0.15-mRNA-1											
OG0034560		augustus_masked-SEQ_609124-processed-gene-0.3-mRNA-1											
OG0034561		maker-SEQ_609110-augustus-gene-0.6-mRNA-1											
OG0034562		maker-SEQ_608931-augustus-gene-0.2-mRNA-1											
OG0034563		augustus_masked-SEQ_608995-processed-gene-0.1-mRNA-1											
OG0034564		genemark-SEQ_609117-processed-gene-0.8-mRNA-1											
OG0034565		maker-SEQ_609188-augustus-gene-0.17-mRNA-1											
OG0034566		genemark-SEQ_608972-processed-gene-0.1-mRNA-1											
OG0034567		maker-SEQ_609140-augustus-gene-0.2-mRNA-1											
OG0034568		maker-SEQ_609225-augustus-gene-0.1-mRNA-1											
OG0034569		genemark-SEQ_609160-processed-gene-0.19-mRNA-1											
OG0034570		genemark-SEQ_609323-processed-gene-0.4-mRNA-1											
OG0034571		genemark-SEQ_609089-processed-gene-0.28-mRNA-1											
OG0034572		maker-SEQ_609356-augustus-gene-0.10-mRNA-1											
OG0034573		genemark-SEQ_609194-processed-gene-0.8-mRNA-1											
OG0034574		maker-SEQ_609372-augustus-gene-0.19-mRNA-1											
OG0034575		maker-SEQ_609146-augustus-gene-0.7-mRNA-1											
OG0034576		genemark-SEQ_609056-processed-gene-0.8-mRNA-1											
OG0034577		genemark-SEQ_609252-processed-gene-0.5-mRNA-1											
OG0034578		maker-SEQ_609348-augustus-gene-0.16-mRNA-1											
OG0034579		genemark-SEQ_609234-processed-gene-0.10-mRNA-1											
OG0034580		genemark-SEQ_609304-processed-gene-0.1-mRNA-1											
OG0034581		genemark-SEQ_609028-processed-gene-0.5-mRNA-1											
OG0034582		maker-SEQ_609057-augustus-gene-0.3-mRNA-1											
OG0034583		augustus_masked-SEQ_609254-processed-gene-0.5-mRNA-1											
OG0034584		maker-SEQ_609123-augustus-gene-0.17-mRNA-1											
OG0034585		maker-SEQ_609331-augustus-gene-0.14-mRNA-1											
OG0034586		maker-SEQ_609433-augustus-gene-0.16-mRNA-1											
OG0034587		genemark-SEQ_609402-processed-gene-0.1-mRNA-1											
OG0034588		maker-SEQ_609674-augustus-gene-0.2-mRNA-1											
OG0034589		genemark-SEQ_609638-processed-gene-0.5-mRNA-1											
OG0034590		augustus_masked-SEQ_609755-processed-gene-0.11-mRNA-1											
OG0034591		genemark-SEQ_609576-processed-gene-0.18-mRNA-1											
OG0034592		maker-SEQ_609547-augustus-gene-0.26-mRNA-1											
OG0034593		maker-SEQ_609622-augustus-gene-0.5-mRNA-1											
OG0034594		maker-SEQ_609835-augustus-gene-0.2-mRNA-1											
OG0034595		augustus_masked-SEQ_609541-processed-gene-0.2-mRNA-1											
OG0034596		maker-SEQ_609738-augustus-gene-0.15-mRNA-1											
OG0034597		genemark-SEQ_609771-processed-gene-0.1-mRNA-1											
OG0034598		genemark-SEQ_609634-processed-gene-0.1-mRNA-1											
OG0034599		maker-SEQ_610366-augustus-gene-0.3-mRNA-1											
OG0034600		genemark-SEQ_610291-processed-gene-0.2-mRNA-1											
OG0034601		genemark-SEQ_610291-processed-gene-0.4-mRNA-1											
OG0034602		genemark-SEQ_609922-processed-gene-0.1-mRNA-1											
OG0034603		maker-SEQ_609915-augustus-gene-0.24-mRNA-1											
OG0034604		maker-SEQ_610242-augustus-gene-0.12-mRNA-1											
OG0034605		genemark-SEQ_610318-processed-gene-0.4-mRNA-1											
OG0034606		genemark-SEQ_610079-processed-gene-0.7-mRNA-1											
OG0034607		genemark-SEQ_610393-processed-gene-0.2-mRNA-1											
OG0034608		genemark-SEQ_610317-processed-gene-0.14-mRNA-1											
OG0034609		augustus_masked-SEQ_610285-processed-gene-0.2-mRNA-1											
OG0034610		genemark-SEQ_610081-processed-gene-0.19-mRNA-1											
OG0034611		genemark-SEQ_610268-processed-gene-0.1-mRNA-1											
OG0034612		genemark-SEQ_610301-processed-gene-0.7-mRNA-1											
OG0034613		genemark-SEQ_610307-processed-gene-0.2-mRNA-1											
OG0034614		genemark-SEQ_610178-processed-gene-0.10-mRNA-1											
OG0034615		genemark-SEQ_610303-processed-gene-0.14-mRNA-1											
OG0034616		genemark-SEQ_610413-processed-gene-0.3-mRNA-1											
OG0034617		maker-SEQ_610505-augustus-gene-0.2-mRNA-1											
OG0034618		maker-SEQ_610647-augustus-gene-0.30-mRNA-1											
OG0034619		genemark-SEQ_610530-processed-gene-0.38-mRNA-1											
OG0034620		genemark-SEQ_610603-processed-gene-0.0-mRNA-1											
OG0034621		genemark-SEQ_610606-processed-gene-0.1-mRNA-1											
OG0034622		maker-SEQ_610447-augustus-gene-0.6-mRNA-1											
OG0034623		genemark-SEQ_610545-processed-gene-0.1-mRNA-1											
OG0034624		maker-SEQ_610498-augustus-gene-0.5-mRNA-1											
OG0034625		genemark-SEQ_610483-processed-gene-0.3-mRNA-1											
OG0034626		genemark-SEQ_610756-processed-gene-0.7-mRNA-1											
OG0034627		maker-SEQ_610454-augustus-gene-0.3-mRNA-1											
OG0034628		maker-SEQ_610701-augustus-gene-0.19-mRNA-1											
OG0034629		genemark-SEQ_611107-processed-gene-0.1-mRNA-1											
OG0034630		genemark-SEQ_611041-processed-gene-0.1-mRNA-1											
OG0034631		genemark-SEQ_611310-processed-gene-0.6-mRNA-1											
OG0034632		genemark-SEQ_611077-processed-gene-0.2-mRNA-1											
OG0034633		genemark-SEQ_611051-processed-gene-0.12-mRNA-1											
OG0034634		augustus_masked-SEQ_611340-processed-gene-0.1-mRNA-1											
OG0034635		augustus_masked-SEQ_611205-processed-gene-0.0-mRNA-1											
OG0034636		maker-SEQ_611244-augustus-gene-0.10-mRNA-1											
OG0034637		genemark-SEQ_611630-processed-gene-0.1-mRNA-1											
OG0034638		maker-SEQ_611832-augustus-gene-0.23-mRNA-1											
OG0034639		augustus_masked-SEQ_611880-processed-gene-0.3-mRNA-1											
OG0034640		genemark-SEQ_611880-processed-gene-0.11-mRNA-1											
OG0034641		augustus_masked-SEQ_611886-processed-gene-0.5-mRNA-1											
OG0034642		maker-SEQ_611431-augustus-gene-0.3-mRNA-1											
OG0034643		genemark-SEQ_611456-processed-gene-0.1-mRNA-1											
OG0034644		genemark-SEQ_611456-processed-gene-0.3-mRNA-1											
OG0034645		genemark-SEQ_611866-processed-gene-0.3-mRNA-1											
OG0034646		genemark-SEQ_611466-processed-gene-0.2-mRNA-1											
OG0034647		augustus_masked-SEQ_611742-processed-gene-0.0-mRNA-1											
OG0034648		genemark-SEQ_611631-processed-gene-0.9-mRNA-1											
OG0034649		genemark-SEQ_612301-processed-gene-0.7-mRNA-1											
OG0034650		maker-SEQ_612191-augustus-gene-0.12-mRNA-1											
OG0034651		genemark-SEQ_612145-processed-gene-0.2-mRNA-1											
OG0034652		genemark-SEQ_611986-processed-gene-0.1-mRNA-1											
OG0034653		maker-SEQ_612369-augustus-gene-0.20-mRNA-1											
OG0034654		genemark-SEQ_612093-processed-gene-0.2-mRNA-1											
OG0034655		augustus_masked-SEQ_611904-processed-gene-0.1-mRNA-1											
OG0034656		augustus_masked-SEQ_612332-processed-gene-0.0-mRNA-1											
OG0034657		genemark-SEQ_611994-processed-gene-0.22-mRNA-1											
OG0034658		genemark-SEQ_612007-processed-gene-0.3-mRNA-1											
OG0034659		genemark-SEQ_612282-processed-gene-0.0-mRNA-1											
OG0034660		genemark-SEQ_611907-processed-gene-0.4-mRNA-1											
OG0034661		genemark-SEQ_611912-processed-gene-0.0-mRNA-1											
OG0034662		genemark-SEQ_612200-processed-gene-0.4-mRNA-1											
OG0034663		genemark-SEQ_612298-processed-gene-0.3-mRNA-1											
OG0034664		maker-SEQ_612656-augustus-gene-0.18-mRNA-1											
OG0034665		maker-SEQ_612656-augustus-gene-0.17-mRNA-1											
OG0034666		genemark-SEQ_612464-processed-gene-0.1-mRNA-1											
OG0034667		genemark-SEQ_612896-processed-gene-0.6-mRNA-1											
OG0034668		augustus_masked-SEQ_612846-processed-gene-0.2-mRNA-1											
OG0034669		genemark-SEQ_612871-processed-gene-0.3-mRNA-1											
OG0034670		augustus_masked-SEQ_612637-processed-gene-0.0-mRNA-1											
OG0034671		genemark-SEQ_612637-processed-gene-0.5-mRNA-1											
OG0034672		genemark-SEQ_612741-processed-gene-0.0-mRNA-1											
OG0034673		genemark-SEQ_612522-processed-gene-0.1-mRNA-1											
OG0034674		maker-SEQ_612672-augustus-gene-0.4-mRNA-1											
OG0034675		augustus_masked-SEQ_612754-processed-gene-0.0-mRNA-1											
OG0034676		genemark-SEQ_612488-processed-gene-0.10-mRNA-1											
OG0034677		genemark-SEQ_612740-processed-gene-0.4-mRNA-1											
OG0034678		maker-SEQ_612578-augustus-gene-0.5-mRNA-1											
OG0034679		augustus_masked-SEQ_612627-processed-gene-0.0-mRNA-1											
OG0034680		maker-SEQ_612475-augustus-gene-0.9-mRNA-1											
OG0034681		genemark-SEQ_612897-processed-gene-0.16-mRNA-1											
OG0034682		maker-SEQ_612897-augustus-gene-0.31-mRNA-1											
OG0034683		genemark-SEQ_612682-processed-gene-0.2-mRNA-1											
OG0034684		genemark-SEQ_612618-processed-gene-0.1-mRNA-1											
OG0034685		maker-SEQ_612684-augustus-gene-0.23-mRNA-1											
OG0034686		maker-SEQ_613329-augustus-gene-0.16-mRNA-1											
OG0034687		genemark-SEQ_613125-processed-gene-0.4-mRNA-1											
OG0034688		genemark-SEQ_613080-processed-gene-0.11-mRNA-1											
OG0034689		maker-SEQ_613080-augustus-gene-0.21-mRNA-1											
OG0034690		genemark-SEQ_613104-processed-gene-0.11-mRNA-1											
OG0034691		genemark-SEQ_613316-processed-gene-0.2-mRNA-1											
OG0034692		genemark-SEQ_613259-processed-gene-0.0-mRNA-1											
OG0034693		genemark-SEQ_613291-processed-gene-0.11-mRNA-1											
OG0034694		genemark-SEQ_613180-processed-gene-0.8-mRNA-1											
OG0034695		genemark-SEQ_613134-processed-gene-0.0-mRNA-1											
OG0034696		maker-SEQ_613031-augustus-gene-0.19-mRNA-1											
OG0034697		maker-SEQ_613031-augustus-gene-0.18-mRNA-1											
OG0034698		genemark-SEQ_613543-processed-gene-0.8-mRNA-1											
OG0034699		augustus_masked-SEQ_613484-processed-gene-0.0-mRNA-1											
OG0034700		maker-SEQ_613572-augustus-gene-0.7-mRNA-1											
OG0034701		maker-SEQ_613542-augustus-gene-0.6-mRNA-1											
OG0034702		maker-SEQ_613646-augustus-gene-0.3-mRNA-1											
OG0034703		genemark-SEQ_613886-processed-gene-0.0-mRNA-1											
OG0034704		maker-SEQ_613856-augustus-gene-0.5-mRNA-1											
OG0034705		genemark-SEQ_613598-processed-gene-0.2-mRNA-1											
OG0034706		augustus_masked-SEQ_613695-processed-gene-0.0-mRNA-1											
OG0034707		maker-SEQ_613844-augustus-gene-0.2-mRNA-1											
OG0034708		genemark-SEQ_613880-processed-gene-0.1-mRNA-1											
OG0034709		genemark-SEQ_613491-processed-gene-0.14-mRNA-1											
OG0034710		maker-SEQ_613491-augustus-gene-0.28-mRNA-1											
OG0034711		maker-SEQ_613413-augustus-gene-0.15-mRNA-1											
OG0034712		genemark-SEQ_613515-processed-gene-0.3-mRNA-1											
OG0034713		genemark-SEQ_613959-processed-gene-0.1-mRNA-1											
OG0034714		genemark-SEQ_613952-processed-gene-0.44-mRNA-1											
OG0034715		genemark-SEQ_614381-processed-gene-0.2-mRNA-1											
OG0034716		genemark-SEQ_614231-processed-gene-0.7-mRNA-1											
OG0034717		augustus_masked-SEQ_614166-processed-gene-0.4-mRNA-1											
OG0034718		genemark-SEQ_614000-processed-gene-0.7-mRNA-1											
OG0034719		maker-SEQ_614229-augustus-gene-0.7-mRNA-1											
OG0034720		augustus_masked-SEQ_614125-processed-gene-0.3-mRNA-1											
OG0034721		genemark-SEQ_614261-processed-gene-0.22-mRNA-1											
OG0034722		genemark-SEQ_614338-processed-gene-0.2-mRNA-1											
OG0034723		maker-SEQ_614377-augustus-gene-0.13-mRNA-1											
OG0034724		genemark-SEQ_614371-processed-gene-0.2-mRNA-1											
OG0034725		genemark-SEQ_614254-processed-gene-0.20-mRNA-1											
OG0034726		genemark-SEQ_614307-processed-gene-0.9-mRNA-1											
OG0034727		genemark-SEQ_614193-processed-gene-0.0-mRNA-1											
OG0034728		maker-SEQ_614328-augustus-gene-0.40-mRNA-1											
OG0034729		genemark-SEQ_614158-processed-gene-0.1-mRNA-1											
OG0034730		maker-SEQ_614321-augustus-gene-0.5-mRNA-1											
OG0034731		genemark-SEQ_613982-processed-gene-0.12-mRNA-1											
OG0034732		genemark-SEQ_613923-processed-gene-0.8-mRNA-1											
OG0034733		genemark-SEQ_614250-processed-gene-0.2-mRNA-1											
OG0034734		genemark-SEQ_614361-processed-gene-0.4-mRNA-1											
OG0034735		genemark-SEQ_614361-processed-gene-0.5-mRNA-1											
OG0034736		maker-SEQ_614350-augustus-gene-0.23-mRNA-1											
OG0034737		genemark-SEQ_613987-processed-gene-0.0-mRNA-1											
OG0034738		genemark-SEQ_614343-processed-gene-0.3-mRNA-1											
OG0034739		maker-SEQ_614349-augustus-gene-0.8-mRNA-1											
OG0034740		genemark-SEQ_614280-processed-gene-0.25-mRNA-1											
OG0034741		maker-SEQ_614008-augustus-gene-0.4-mRNA-1											
OG0034742		genemark-SEQ_613953-processed-gene-0.9-mRNA-1											
OG0034743		maker-SEQ_614114-augustus-gene-0.7-mRNA-1											
OG0034744		augustus_masked-SEQ_614070-processed-gene-0.0-mRNA-1											
OG0034745		genemark-SEQ_614045-processed-gene-0.4-mRNA-1											
OG0034746		augustus_masked-SEQ_614240-processed-gene-0.3-mRNA-1											
OG0034747		genemark-SEQ_614240-processed-gene-0.12-mRNA-1											
OG0034748		genemark-SEQ_614218-processed-gene-0.18-mRNA-1											
OG0034749		maker-SEQ_614148-augustus-gene-0.5-mRNA-1											
OG0034750		genemark-SEQ_614859-processed-gene-0.4-mRNA-1											
OG0034751		genemark-SEQ_614586-processed-gene-0.4-mRNA-1											
OG0034752		maker-SEQ_614453-augustus-gene-0.53-mRNA-1											
OG0034753		genemark-SEQ_614848-processed-gene-0.4-mRNA-1											
OG0034754		genemark-SEQ_614848-processed-gene-0.11-mRNA-1											
OG0034755		maker-SEQ_614848-augustus-gene-0.14-mRNA-1											
OG0034756		maker-SEQ_614608-augustus-gene-0.7-mRNA-1											
OG0034757		maker-SEQ_614621-augustus-gene-0.14-mRNA-1											
OG0034758		maker-SEQ_614544-augustus-gene-0.6-mRNA-1											
OG0034759		augustus_masked-SEQ_614563-processed-gene-0.1-mRNA-1											
OG0034760		maker-SEQ_614582-augustus-gene-0.16-mRNA-1											
OG0034761		maker-SEQ_614582-augustus-gene-0.18-mRNA-1											
OG0034762		genemark-SEQ_614582-processed-gene-0.13-mRNA-1											
OG0034763		genemark-SEQ_614680-processed-gene-0.4-mRNA-1											
OG0034764		augustus_masked-SEQ_614711-processed-gene-0.3-mRNA-1											
OG0034765		augustus_masked-SEQ_614601-processed-gene-0.3-mRNA-1											
OG0034766		genemark-SEQ_614620-processed-gene-0.1-mRNA-1											
OG0034767		genemark-SEQ_614414-processed-gene-0.11-mRNA-1											
OG0034768		genemark-SEQ_614556-processed-gene-0.7-mRNA-1											
OG0034769		genemark-SEQ_614686-processed-gene-0.19-mRNA-1											
OG0034770		genemark-SEQ_614686-processed-gene-0.20-mRNA-1											
OG0034771		genemark-SEQ_614686-processed-gene-0.13-mRNA-1											
OG0034772		genemark-SEQ_614839-processed-gene-0.10-mRNA-1											
OG0034773		maker-SEQ_614517-augustus-gene-0.6-mRNA-1											
OG0034774		augustus_masked-SEQ_614475-processed-gene-0.4-mRNA-1											
OG0034775		maker-SEQ_614501-augustus-gene-0.15-mRNA-1											
OG0034776		maker-SEQ_614491-augustus-gene-0.31-mRNA-1											
OG0034777		genemark-SEQ_614534-processed-gene-0.10-mRNA-1											
OG0034778		genemark-SEQ_614826-processed-gene-0.8-mRNA-1											
OG0034779		maker-SEQ_614609-augustus-gene-0.5-mRNA-1											
OG0034780		genemark-SEQ_614413-processed-gene-0.19-mRNA-1											
OG0034781		maker-SEQ_614577-augustus-gene-0.26-mRNA-1											
OG0034782		augustus_masked-SEQ_614545-processed-gene-0.3-mRNA-1											
OG0034783		genemark-SEQ_614545-processed-gene-0.7-mRNA-1											
OG0034784		genemark-SEQ_614436-processed-gene-0.5-mRNA-1											
OG0034785		genemark-SEQ_614638-processed-gene-1.18-mRNA-1											
OG0034786		maker-SEQ_614702-augustus-gene-0.15-mRNA-1											
OG0034787		maker-SEQ_614702-augustus-gene-0.16-mRNA-1											
OG0034788		genemark-SEQ_614860-processed-gene-0.0-mRNA-1											
OG0034789		augustus_masked-SEQ_615207-processed-gene-0.2-mRNA-1											
OG0034790		maker-SEQ_614933-augustus-gene-0.27-mRNA-1											
OG0034791		genemark-SEQ_615001-processed-gene-0.2-mRNA-1											
OG0034792		augustus_masked-SEQ_615002-processed-gene-0.3-mRNA-1											
OG0034793		augustus_masked-SEQ_615045-processed-gene-0.0-mRNA-1											
OG0034794		maker-SEQ_615140-augustus-gene-0.11-mRNA-1											
OG0034795		augustus_masked-SEQ_615235-processed-gene-0.2-mRNA-1											
OG0034796		genemark-SEQ_615220-processed-gene-0.13-mRNA-1											
OG0034797		maker-SEQ_615220-augustus-gene-0.40-mRNA-1											
OG0034798		genemark-SEQ_615220-processed-gene-0.29-mRNA-1											
OG0034799		maker-SEQ_615243-augustus-gene-0.10-mRNA-1											
OG0034800		maker-SEQ_615015-augustus-gene-0.6-mRNA-1											
OG0034801		maker-SEQ_614955-augustus-gene-0.7-mRNA-1											
OG0034802		genemark-SEQ_615379-processed-gene-0.5-mRNA-1											
OG0034803		augustus_masked-SEQ_615275-processed-gene-0.4-mRNA-1											
OG0034804		augustus_masked-SEQ_615136-processed-gene-0.2-mRNA-1											
OG0034805		maker-SEQ_614949-augustus-gene-0.5-mRNA-1											
OG0034806		genemark-SEQ_614936-processed-gene-0.9-mRNA-1											
OG0034807		genemark-SEQ_614936-processed-gene-0.14-mRNA-1											
OG0034808		maker-SEQ_615011-augustus-gene-0.2-mRNA-1											
OG0034809		augustus_masked-SEQ_614912-processed-gene-0.4-mRNA-1											
OG0034810		maker-SEQ_614916-augustus-gene-0.10-mRNA-1											
OG0034811		augustus_masked-SEQ_615049-processed-gene-0.0-mRNA-1											
OG0034812		genemark-SEQ_615121-processed-gene-0.13-mRNA-1											
OG0034813		genemark-SEQ_615116-processed-gene-0.2-mRNA-1											
OG0034814		genemark-SEQ_615197-processed-gene-0.14-mRNA-1											
OG0034815		maker-SEQ_615294-augustus-gene-0.6-mRNA-1											
