	D1-35	D10-7	D11-1	D2-1-6	D2-2	D3-D-27	D3-K-57	D4-185	D5-8	D6-5	D7-157	D8-8	D9-4
maker-SEQ_1687027-augustus-gene-0.2-mRNA-1	maker-SEQ_608918-augustus-gene-0.14-mRNA-1	maker-SEQ_1771972-augustus-gene-0.4-mRNA-1	maker-SEQ_3525650-augustus-gene-0.2-mRNA-1	maker-SEQ_2371674-augustus-gene-0.4-mRNA-1	maker-SEQ_890029-augustus-gene-0.3-mRNA-1	maker-SEQ_1445766-augustus-gene-0.2-mRNA-1	maker-SEQ_2146864-augustus-gene-0.4-mRNA-1	genemark-SEQ_4203957-processed-gene-0.1-mRNA-1	maker-SEQ_1659448-augustus-gene-0.8-mRNA-1	maker-SEQ_3141730-augustus-gene-0.2-mRNA-1	genemark-SEQ_1469058-processed-gene-0.0-mRNA-1	maker-SEQ_176910-augustus-gene-0.2-mRNA-1
augustus_masked-SEQ_1687579-processed-gene-0.0-mRNA-1	genemark-SEQ_621831-processed-gene-0.4-mRNA-1	augustus_masked-SEQ_1764245-processed-gene-0.3-mRNA-1	augustus_masked-SEQ_3517733-processed-gene-0.0-mRNA-1	genemark-SEQ_2519021-processed-gene-0.0-mRNA-1	genemark-SEQ_1537707-processed-gene-0.0-mRNA-1	genemark-SEQ_898814-processed-gene-0.1-mRNA-1	genemark-SEQ_3038324-processed-gene-0.1-mRNA-1	augustus_masked-SEQ_4856148-processed-gene-0.0-mRNA-1	genemark-SEQ_1381938-processed-gene-0.0-mRNA-1	genemark-SEQ_3213369-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_1346209-processed-gene-0.1-mRNA-1	augustus_masked-SEQ_3564638-processed-gene-0.0-mRNA-1
augustus_masked-SEQ_1687579-processed-gene-0.2-mRNA-1	augustus_masked-SEQ_598825-processed-gene-0.4-mRNA-1	augustus_masked-SEQ_1743974-processed-gene-0.1-mRNA-1	augustus_masked-SEQ_3509627-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_2518515-processed-gene-0.1-mRNA-1	genemark-SEQ_1576768-processed-gene-0.0-mRNA-1	genemark-SEQ_1635997-processed-gene-0.2-mRNA-1	augustus_masked-SEQ_1160016-processed-gene-0.0-mRNA-1	genemark-SEQ_4857603-processed-gene-0.1-mRNA-1	augustus_masked-SEQ_1494214-processed-gene-0.1-mRNA-1	genemark-SEQ_3215174-processed-gene-0.0-mRNA-1	maker-SEQ_1493272-augustus-gene-0.2-mRNA-1	genemark-SEQ_3609600-processed-gene-0.1-mRNA-1
augustus_masked-SEQ_1687095-processed-gene-0.1-mRNA-1	augustus_masked-SEQ_593122-processed-gene-0.1-mRNA-1	augustus_masked-SEQ_1742721-processed-gene-0.2-mRNA-1	genemark-SEQ_3528802-processed-gene-0.2-mRNA-1	genemark-SEQ_2525268-processed-gene-0.1-mRNA-1	genemark-SEQ_1555015-processed-gene-0.2-mRNA-1	augustus_masked-SEQ_587989-processed-gene-0.1-mRNA-1	augustus_masked-SEQ_3106856-processed-gene-0.2-mRNA-1	genemark-SEQ_2255495-processed-gene-0.1-mRNA-1	augustus_masked-SEQ_1624904-processed-gene-0.5-mRNA-1	augustus_masked-SEQ_3177623-processed-gene-0.2-mRNA-1	augustus_masked-SEQ_1533890-processed-gene-0.6-mRNA-1	genemark-SEQ_3623088-processed-gene-0.4-mRNA-1
genemark-SEQ_1687095-processed-gene-0.6-mRNA-1	genemark-SEQ_593122-processed-gene-0.16-mRNA-1	genemark-SEQ_1742721-processed-gene-0.1-mRNA-1	augustus_masked-SEQ_3528802-processed-gene-0.1-mRNA-1	augustus_masked-SEQ_2530566-processed-gene-0.2-mRNA-1	genemark-SEQ_1555015-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_587989-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_3106856-processed-gene-0.0-mRNA-1	genemark-SEQ_2255495-processed-gene-0.2-mRNA-1	genemark-SEQ_1624904-processed-gene-0.3-mRNA-1	maker-SEQ_3177623-augustus-gene-0.4-mRNA-1	genemark-SEQ_1533890-processed-gene-0.0-mRNA-1	genemark-SEQ_3623088-processed-gene-0.5-mRNA-1
maker-SEQ_1686319-augustus-gene-0.2-mRNA-1	maker-SEQ_601374-augustus-gene-0.3-mRNA-1	maker-SEQ_1703646-augustus-gene-0.2-mRNA-1	genemark-SEQ_2872892-processed-gene-0.1-mRNA-1	maker-SEQ_2552427-augustus-gene-0.2-mRNA-1	genemark-SEQ_1586410-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_191838-processed-gene-0.0-mRNA-1	maker-SEQ_420337-augustus-gene-0.2-mRNA-1	maker-SEQ_333929-augustus-gene-0.2-mRNA-1	genemark-SEQ_756778-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_3186641-processed-gene-0.1-mRNA-1	genemark-SEQ_1507196-processed-gene-0.0-mRNA-1	maker-SEQ_3625148-augustus-gene-0.2-mRNA-1
augustus_masked-SEQ_1687210-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_612724-processed-gene-0.3-mRNA-1	augustus_masked-SEQ_1767949-processed-gene-0.6-mRNA-1	augustus_masked-SEQ_3525824-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_687260-processed-gene-0.3-mRNA-1	augustus_masked-SEQ_1571490-processed-gene-0.3-mRNA-1	augustus_masked-SEQ_32270-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_3066960-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_3463329-processed-gene-0.0-mRNA-1	genemark-SEQ_1593021-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_410520-processed-gene-0.2-mRNA-1	augustus_masked-SEQ_1469774-processed-gene-0.2-mRNA-1	augustus_masked-SEQ_3572993-processed-gene-0.3-mRNA-1
genemark-SEQ_1687616-processed-gene-0.1-mRNA-1	augustus_masked-SEQ_601870-processed-gene-0.1-mRNA-1	genemark-SEQ_1769448-processed-gene-0.0-mRNA-1	genemark-SEQ_3421444-processed-gene-0.1-mRNA-1	augustus_masked-SEQ_2575780-processed-gene-0.3-mRNA-1	genemark-SEQ_1599824-processed-gene-0.2-mRNA-1	genemark-SEQ_1578811-processed-gene-0.1-mRNA-1	genemark-SEQ_18650-processed-gene-0.1-mRNA-1	genemark-SEQ_4343785-processed-gene-0.1-mRNA-1	genemark-SEQ_1604041-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_3218110-processed-gene-0.1-mRNA-1	genemark-SEQ_1509754-processed-gene-0.1-mRNA-1	genemark-SEQ_3527463-processed-gene-0.1-mRNA-1
augustus_masked-SEQ_1686454-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_614728-processed-gene-0.4-mRNA-1	augustus_masked-SEQ_1738093-processed-gene-0.7-mRNA-1	genemark-SEQ_3508795-processed-gene-0.3-mRNA-1	genemark-SEQ_2525756-processed-gene-0.0-mRNA-1	genemark-SEQ_1567735-processed-gene-0.1-mRNA-1	augustus_masked-SEQ_678488-processed-gene-0.1-mRNA-1	genemark-SEQ_2802674-processed-gene-0.1-mRNA-1	augustus_masked-SEQ_3014625-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_1593064-processed-gene-0.2-mRNA-1	augustus_masked-SEQ_3220159-processed-gene-0.1-mRNA-1	augustus_masked-SEQ_796738-processed-gene-0.2-mRNA-1	augustus_masked-SEQ_2089262-processed-gene-0.0-mRNA-1
augustus_masked-SEQ_1686454-processed-gene-0.1-mRNA-1	augustus_masked-SEQ_614728-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_1738093-processed-gene-0.4-mRNA-1	augustus_masked-SEQ_3508795-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_2525756-processed-gene-0.3-mRNA-1	genemark-SEQ_1567735-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_678488-processed-gene-0.0-mRNA-1	genemark-SEQ_2238337-processed-gene-0.1-mRNA-1	genemark-SEQ_3014625-processed-gene-0.3-mRNA-1	augustus_masked-SEQ_1593064-processed-gene-0.3-mRNA-1	genemark-SEQ_840415-processed-gene-0.0-mRNA-1	genemark-SEQ_796738-processed-gene-0.1-mRNA-1	augustus_masked-SEQ_3591250-processed-gene-0.0-mRNA-1
maker-SEQ_1687075-augustus-gene-0.3-mRNA-1	maker-SEQ_591043-augustus-gene-0.7-mRNA-1	genemark-SEQ_1746173-processed-gene-0.0-mRNA-1	maker-SEQ_2832009-augustus-gene-0.2-mRNA-1	maker-SEQ_844493-augustus-gene-0.3-mRNA-1	maker-SEQ_1600899-augustus-gene-0.7-mRNA-1	maker-SEQ_1616992-augustus-gene-0.3-mRNA-1	maker-SEQ_1224279-augustus-gene-0.3-mRNA-1	maker-SEQ_4855525-augustus-gene-0.4-mRNA-1	maker-SEQ_1603717-augustus-gene-0.4-mRNA-1	maker-SEQ_1135646-augustus-gene-0.2-mRNA-1	maker-SEQ_1508395-augustus-gene-0.4-mRNA-1	maker-SEQ_3569904-augustus-gene-0.5-mRNA-1
maker-SEQ_1688488-augustus-gene-0.6-mRNA-1	genemark-SEQ_423167-processed-gene-0.1-mRNA-1	maker-SEQ_1721367-augustus-gene-0.6-mRNA-1	maker-SEQ_3507483-augustus-gene-0.6-mRNA-1	genemark-SEQ_1456090-processed-gene-0.2-mRNA-1	genemark-SEQ_1561464-processed-gene-0.0-mRNA-1	maker-SEQ_1597140-augustus-gene-0.6-mRNA-1	genemark-SEQ_513124-processed-gene-0.5-mRNA-1	maker-SEQ_4860756-augustus-gene-0.2-mRNA-1	maker-SEQ_1614143-augustus-gene-0.6-mRNA-1	genemark-SEQ_1851072-processed-gene-0.0-mRNA-1	maker-SEQ_1491857-augustus-gene-0.8-mRNA-1	maker-SEQ_3603276-augustus-gene-0.2-mRNA-1
maker-SEQ_1688488-augustus-gene-0.7-mRNA-1	maker-SEQ_610425-augustus-gene-0.7-mRNA-1	maker-SEQ_1721367-augustus-gene-0.7-mRNA-1	genemark-SEQ_3507483-processed-gene-0.4-mRNA-1	maker-SEQ_1456090-augustus-gene-0.7-mRNA-1	maker-SEQ_1561464-augustus-gene-0.7-mRNA-1	maker-SEQ_1597140-augustus-gene-0.7-mRNA-1	maker-SEQ_513124-augustus-gene-0.12-mRNA-1	maker-SEQ_1025973-augustus-gene-0.5-mRNA-1	maker-SEQ_1614143-augustus-gene-0.7-mRNA-1	maker-SEQ_1513286-augustus-gene-0.7-mRNA-1	maker-SEQ_1491857-augustus-gene-0.7-mRNA-1	maker-SEQ_3593247-augustus-gene-0.5-mRNA-1
augustus_masked-SEQ_1688488-processed-gene-0.2-mRNA-1	augustus_masked-SEQ_610425-processed-gene-0.0-mRNA-1	maker-SEQ_1721367-augustus-gene-0.8-mRNA-1	augustus_masked-SEQ_3507483-processed-gene-0.2-mRNA-1	maker-SEQ_1456090-augustus-gene-0.6-mRNA-1	genemark-SEQ_1561464-processed-gene-0.2-mRNA-1	augustus_masked-SEQ_1597140-processed-gene-0.2-mRNA-1	maker-SEQ_513124-augustus-gene-0.16-mRNA-1	maker-SEQ_1025973-augustus-gene-0.4-mRNA-1	augustus_masked-SEQ_1614143-processed-gene-0.5-mRNA-1	maker-SEQ_1513286-augustus-gene-0.6-mRNA-1	augustus_masked-SEQ_1491857-processed-gene-0.3-mRNA-1	maker-SEQ_3593247-augustus-gene-0.4-mRNA-1
maker-SEQ_1674112-augustus-gene-0.2-mRNA-1	maker-SEQ_613952-augustus-gene-0.57-mRNA-1	maker-SEQ_1723818-augustus-gene-0.2-mRNA-1	maker-SEQ_3493885-augustus-gene-0.2-mRNA-1	maker-SEQ_2586306-augustus-gene-0.2-mRNA-1	genemark-SEQ_1576427-processed-gene-0.0-mRNA-1	genemark-SEQ_424368-processed-gene-0.1-mRNA-1	genemark-SEQ_3107620-processed-gene-0.1-mRNA-1	maker-SEQ_4867518-augustus-gene-0.2-mRNA-1	maker-SEQ_158178-augustus-gene-0.2-mRNA-1	maker-SEQ_3159728-augustus-gene-0.2-mRNA-1	maker-SEQ_802698-augustus-gene-0.2-mRNA-1	maker-SEQ_3516542-augustus-gene-0.2-mRNA-1
maker-SEQ_1688227-augustus-gene-0.5-mRNA-1	maker-SEQ_596423-augustus-gene-0.32-mRNA-1	maker-SEQ_1723566-augustus-gene-0.4-mRNA-1	augustus_masked-SEQ_3510833-processed-gene-0.0-mRNA-1	maker-SEQ_2530858-augustus-gene-0.6-mRNA-1	maker-SEQ_1535765-augustus-gene-0.6-mRNA-1	maker-SEQ_1605047-augustus-gene-0.4-mRNA-1	maker-SEQ_3088862-augustus-gene-0.3-mRNA-1	augustus_masked-SEQ_1852712-processed-gene-0.0-mRNA-1	maker-SEQ_1252832-augustus-gene-0.5-mRNA-1	maker-SEQ_3145852-augustus-gene-0.5-mRNA-1	maker-SEQ_1461107-augustus-gene-0.4-mRNA-1	maker-SEQ_3608400-augustus-gene-0.5-mRNA-1
genemark-SEQ_1687259-processed-gene-0.2-mRNA-1	genemark-SEQ_604910-processed-gene-0.3-mRNA-1	genemark-SEQ_1765140-processed-gene-0.0-mRNA-1	genemark-SEQ_3489170-processed-gene-0.2-mRNA-1	maker-SEQ_1812149-augustus-gene-0.2-mRNA-1	genemark-SEQ_1596222-processed-gene-0.0-mRNA-1	genemark-SEQ_1253246-processed-gene-0.4-mRNA-1	genemark-SEQ_2636771-processed-gene-0.1-mRNA-1	genemark-SEQ_2762406-processed-gene-0.3-mRNA-1	genemark-SEQ_1616570-processed-gene-0.0-mRNA-1	maker-SEQ_1001433-augustus-gene-0.2-mRNA-1	genemark-SEQ_1524551-processed-gene-0.1-mRNA-1	genemark-SEQ_3609463-processed-gene-0.2-mRNA-1
augustus_masked-SEQ_1687259-processed-gene-0.1-mRNA-1	augustus_masked-SEQ_604910-processed-gene-0.1-mRNA-1	augustus_masked-SEQ_1765140-processed-gene-0.4-mRNA-1	augustus_masked-SEQ_3489170-processed-gene-0.1-mRNA-1	augustus_masked-SEQ_40310-processed-gene-0.1-mRNA-1	augustus_masked-SEQ_1596222-processed-gene-0.4-mRNA-1	augustus_masked-SEQ_1253246-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_337866-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_2762406-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_1616570-processed-gene-0.4-mRNA-1	augustus_masked-SEQ_3084744-processed-gene-0.1-mRNA-1	augustus_masked-SEQ_1524551-processed-gene-0.2-mRNA-1	augustus_masked-SEQ_3609463-processed-gene-0.1-mRNA-1
augustus_masked-SEQ_1686467-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_593989-processed-gene-0.1-mRNA-1	augustus_masked-SEQ_1715550-processed-gene-0.4-mRNA-1	augustus_masked-SEQ_3462202-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_2547059-processed-gene-0.2-mRNA-1	augustus_masked-SEQ_1608723-processed-gene-0.4-mRNA-1	augustus_masked-SEQ_1567137-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_2190007-processed-gene-0.1-mRNA-1	genemark-SEQ_1222200-processed-gene-0.1-mRNA-1	augustus_masked-SEQ_1610890-processed-gene-0.1-mRNA-1	augustus_masked-SEQ_689792-processed-gene-0.1-mRNA-1	augustus_masked-SEQ_1462880-processed-gene-0.2-mRNA-1	maker-SEQ_3587784-augustus-gene-0.4-mRNA-1
maker-SEQ_1687448-augustus-gene-0.2-mRNA-1	augustus_masked-SEQ_622255-processed-gene-0.11-mRNA-1	maker-SEQ_1752441-augustus-gene-0.5-mRNA-1	maker-SEQ_3483320-augustus-gene-0.2-mRNA-1	maker-SEQ_1145037-augustus-gene-0.4-mRNA-1	augustus_masked-SEQ_1564708-processed-gene-0.2-mRNA-1	genemark-SEQ_1025029-processed-gene-0.1-mRNA-1	maker-SEQ_3082683-augustus-gene-0.8-mRNA-1	maker-SEQ_1677399-augustus-gene-0.2-mRNA-1	genemark-SEQ_737646-processed-gene-0.0-mRNA-1	genemark-SEQ_3219869-processed-gene-0.0-mRNA-1	maker-SEQ_1497298-augustus-gene-0.2-mRNA-1	augustus_masked-SEQ_3575743-processed-gene-0.0-mRNA-1
maker-SEQ_1671794-augustus-gene-0.3-mRNA-1	maker-SEQ_591079-augustus-gene-0.22-mRNA-1	maker-SEQ_1769465-augustus-gene-0.6-mRNA-1	maker-SEQ_482897-augustus-gene-0.3-mRNA-1	maker-SEQ_2560510-augustus-gene-0.8-mRNA-1	maker-SEQ_1294449-augustus-gene-0.3-mRNA-1	genemark-SEQ_78471-processed-gene-0.1-mRNA-1	maker-SEQ_3041056-augustus-gene-0.2-mRNA-1	maker-SEQ_3599956-augustus-gene-0.2-mRNA-1	maker-SEQ_1582723-augustus-gene-0.2-mRNA-1	augustus_masked-SEQ_3163511-processed-gene-0.1-mRNA-1	maker-SEQ_1521602-augustus-gene-0.5-mRNA-1	maker-SEQ_3610311-augustus-gene-0.3-mRNA-1
augustus_masked-SEQ_1686469-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_588521-processed-gene-0.9-mRNA-1	augustus_masked-SEQ_1735665-processed-gene-0.1-mRNA-1	augustus_masked-SEQ_3527323-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_570530-processed-gene-0.3-mRNA-1	maker-SEQ_1597699-augustus-gene-0.3-mRNA-1	augustus_masked-SEQ_1617361-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_2173164-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_4850172-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_1605384-processed-gene-0.2-mRNA-1	augustus_masked-SEQ_2488815-processed-gene-0.1-mRNA-1	augustus_masked-SEQ_1510293-processed-gene-0.2-mRNA-1	augustus_masked-SEQ_3570368-processed-gene-0.0-mRNA-1
genemark-SEQ_1687225-processed-gene-0.1-mRNA-1	augustus_masked-SEQ_620150-processed-gene-0.5-mRNA-1	genemark-SEQ_1738900-processed-gene-0.1-mRNA-1	genemark-SEQ_3531139-processed-gene-0.3-mRNA-1	genemark-SEQ_1708654-processed-gene-0.0-mRNA-1	genemark-SEQ_261416-processed-gene-0.1-mRNA-1	genemark-SEQ_266001-processed-gene-0.2-mRNA-1	genemark-SEQ_3084487-processed-gene-0.5-mRNA-1	genemark-SEQ_1851984-processed-gene-0.1-mRNA-1	genemark-SEQ_777017-processed-gene-0.0-mRNA-1	genemark-SEQ_3186244-processed-gene-0.0-mRNA-1	genemark-SEQ_1498838-processed-gene-0.0-mRNA-1	genemark-SEQ_3570234-processed-gene-0.1-mRNA-1
augustus_masked-SEQ_1687330-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_622606-processed-gene-0.1-mRNA-1	augustus_masked-SEQ_1763499-processed-gene-0.3-mRNA-1	augustus_masked-SEQ_3480434-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_1577619-processed-gene-0.1-mRNA-1	augustus_masked-SEQ_1572341-processed-gene-0.1-mRNA-1	augustus_masked-SEQ_1574935-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_513730-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_716100-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_1610456-processed-gene-0.2-mRNA-1	augustus_masked-SEQ_1982139-processed-gene-0.2-mRNA-1	augustus_masked-SEQ_1531911-processed-gene-0.3-mRNA-1	augustus_masked-SEQ_3501447-processed-gene-0.1-mRNA-1
maker-SEQ_1687330-augustus-gene-0.4-mRNA-1	maker-SEQ_622606-augustus-gene-0.25-mRNA-1	maker-SEQ_1763499-augustus-gene-0.4-mRNA-1	maker-SEQ_3410775-augustus-gene-0.4-mRNA-1	maker-SEQ_1295502-augustus-gene-0.3-mRNA-1	maker-SEQ_1591817-augustus-gene-0.4-mRNA-1	maker-SEQ_1574935-augustus-gene-0.4-mRNA-1	maker-SEQ_3115131-augustus-gene-0.5-mRNA-1	maker-SEQ_4780572-augustus-gene-0.2-mRNA-1	maker-SEQ_1610456-augustus-gene-0.4-mRNA-1	maker-SEQ_3189160-augustus-gene-0.4-mRNA-1	maker-SEQ_1531911-augustus-gene-0.4-mRNA-1	genemark-SEQ_3501447-processed-gene-0.2-mRNA-1
maker-SEQ_1686621-augustus-gene-0.3-mRNA-1	maker-SEQ_603028-augustus-gene-0.4-mRNA-1	maker-SEQ_1717372-augustus-gene-0.6-mRNA-1	maker-SEQ_3535263-augustus-gene-0.3-mRNA-1	maker-SEQ_2571578-augustus-gene-0.2-mRNA-1	maker-SEQ_1057364-augustus-gene-0.3-mRNA-1	maker-SEQ_1035853-augustus-gene-0.2-mRNA-1	maker-SEQ_3033152-augustus-gene-0.4-mRNA-1	maker-SEQ_1279501-augustus-gene-0.2-mRNA-1	maker-SEQ_77830-augustus-gene-0.2-mRNA-1	maker-SEQ_1649685-augustus-gene-0.4-mRNA-1	maker-SEQ_1469028-augustus-gene-0.3-mRNA-1	maker-SEQ_3593628-augustus-gene-0.4-mRNA-1
maker-SEQ_1687687-augustus-gene-0.4-mRNA-1	maker-SEQ_599020-augustus-gene-0.13-mRNA-1	maker-SEQ_1778956-augustus-gene-0.6-mRNA-1	maker-SEQ_3519345-augustus-gene-0.2-mRNA-1	maker-SEQ_2585393-augustus-gene-0.4-mRNA-1	maker-SEQ_1559086-augustus-gene-0.9-mRNA-1	maker-SEQ_1611858-augustus-gene-0.2-mRNA-1	maker-SEQ_3111530-augustus-gene-0.5-mRNA-1	maker-SEQ_1415193-augustus-gene-0.2-mRNA-1	maker-SEQ_1647039-augustus-gene-0.2-mRNA-1	maker-SEQ_3180513-augustus-gene-0.3-mRNA-1	maker-SEQ_1498644-augustus-gene-0.2-mRNA-1	maker-SEQ_3625043-augustus-gene-0.4-mRNA-1
maker-SEQ_1686338-augustus-gene-0.2-mRNA-1	maker-SEQ_587711-augustus-gene-0.15-mRNA-1	maker-SEQ_748271-augustus-gene-0.2-mRNA-1	maker-SEQ_3498894-augustus-gene-0.2-mRNA-1	maker-SEQ_2037260-augustus-gene-0.3-mRNA-1	maker-SEQ_1562583-augustus-gene-0.5-mRNA-1	maker-SEQ_1133005-augustus-gene-0.2-mRNA-1	maker-SEQ_3065765-augustus-gene-0.2-mRNA-1	maker-SEQ_391387-augustus-gene-0.2-mRNA-1	maker-SEQ_1607813-augustus-gene-0.2-mRNA-1	maker-SEQ_3209673-augustus-gene-0.2-mRNA-1	maker-SEQ_1531322-augustus-gene-0.2-mRNA-1	maker-SEQ_2121305-augustus-gene-0.2-mRNA-1
maker-SEQ_1677755-augustus-gene-0.3-mRNA-1	maker-SEQ_622211-augustus-gene-0.39-mRNA-1	maker-SEQ_1783147-augustus-gene-0.4-mRNA-1	maker-SEQ_3499170-augustus-gene-0.2-mRNA-1	maker-SEQ_2577274-augustus-gene-0.6-mRNA-1	maker-SEQ_1555514-augustus-gene-0.5-mRNA-1	maker-SEQ_1604751-augustus-gene-0.3-mRNA-1	maker-SEQ_3085745-augustus-gene-0.5-mRNA-1	maker-SEQ_4807260-augustus-gene-0.2-mRNA-1	maker-SEQ_1614099-augustus-gene-0.2-mRNA-1	maker-SEQ_3167934-augustus-gene-0.3-mRNA-1	maker-SEQ_1485942-augustus-gene-0.3-mRNA-1	maker-SEQ_3615859-augustus-gene-0.3-mRNA-1
genemark-SEQ_1687773-processed-gene-0.2-mRNA-1	genemark-SEQ_612857-processed-gene-0.29-mRNA-1	genemark-SEQ_1779746-processed-gene-0.3-mRNA-1	genemark-SEQ_3538327-processed-gene-0.3-mRNA-1	genemark-SEQ_302395-processed-gene-0.1-mRNA-1	genemark-SEQ_1610111-processed-gene-0.2-mRNA-1	genemark-SEQ_1577587-processed-gene-0.3-mRNA-1	genemark-SEQ_791700-processed-gene-0.1-mRNA-1	genemark-SEQ_4868623-processed-gene-0.2-mRNA-1	genemark-SEQ_801733-processed-gene-0.1-mRNA-1	genemark-SEQ_2001033-processed-gene-0.0-mRNA-1	genemark-SEQ_1529404-processed-gene-0.3-mRNA-1	genemark-SEQ_3625620-processed-gene-0.2-mRNA-1
maker-SEQ_1686463-augustus-gene-0.5-mRNA-1	maker-SEQ_621456-augustus-gene-0.7-mRNA-1	maker-SEQ_1500956-augustus-gene-0.5-mRNA-1	maker-SEQ_1138743-augustus-gene-0.2-mRNA-1	augustus_masked-SEQ_270571-processed-gene-0.2-mRNA-1	maker-SEQ_1521043-augustus-gene-0.4-mRNA-1	maker-SEQ_1564873-augustus-gene-0.4-mRNA-1	maker-SEQ_3029947-augustus-gene-0.4-mRNA-1	maker-SEQ_125276-augustus-gene-0.2-mRNA-1	maker-SEQ_480170-augustus-gene-0.5-mRNA-1	maker-SEQ_3207152-augustus-gene-0.5-mRNA-1	maker-SEQ_1478794-augustus-gene-0.5-mRNA-1	maker-SEQ_3517672-augustus-gene-0.6-mRNA-1
maker-SEQ_1688193-augustus-gene-0.2-mRNA-1	maker-SEQ_610284-augustus-gene-0.24-mRNA-1	maker-SEQ_1778603-augustus-gene-0.5-mRNA-1	maker-SEQ_3531102-augustus-gene-0.2-mRNA-1	maker-SEQ_2372288-augustus-gene-0.3-mRNA-1	maker-SEQ_1591408-augustus-gene-0.2-mRNA-1	maker-SEQ_1582808-augustus-gene-0.2-mRNA-1	maker-SEQ_2711043-augustus-gene-0.4-mRNA-1	maker-SEQ_2325571-augustus-gene-0.3-mRNA-1	maker-SEQ_403074-augustus-gene-0.2-mRNA-1	maker-SEQ_2049564-augustus-gene-0.2-mRNA-1	maker-SEQ_1529116-augustus-gene-0.7-mRNA-1	maker-SEQ_3556243-augustus-gene-0.2-mRNA-1
augustus_masked-SEQ_1688276-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_566146-processed-gene-0.2-mRNA-1	maker-SEQ_409915-augustus-gene-0.2-mRNA-1	genemark-SEQ_3505483-processed-gene-0.1-mRNA-1	genemark-SEQ_2583482-processed-gene-0.1-mRNA-1	maker-SEQ_1545302-augustus-gene-0.2-mRNA-1	maker-SEQ_1578329-augustus-gene-0.2-mRNA-1	genemark-SEQ_2666869-processed-gene-0.1-mRNA-1	genemark-SEQ_3596469-processed-gene-0.1-mRNA-1	genemark-SEQ_1608535-processed-gene-0.0-mRNA-1	genemark-SEQ_1057184-processed-gene-0.0-mRNA-1	genemark-SEQ_1479765-processed-gene-0.0-mRNA-1	genemark-SEQ_3620147-processed-gene-0.1-mRNA-1
maker-SEQ_1688308-augustus-gene-0.2-mRNA-1	augustus_masked-SEQ_622694-processed-gene-0.6-mRNA-1	augustus_masked-SEQ_1779791-processed-gene-0.1-mRNA-1	maker-SEQ_3489572-augustus-gene-0.2-mRNA-1	genemark-SEQ_2592181-processed-gene-0.0-mRNA-1	maker-SEQ_1607867-augustus-gene-0.2-mRNA-1	maker-SEQ_108273-augustus-gene-0.2-mRNA-1	maker-SEQ_544593-augustus-gene-0.2-mRNA-1	augustus_masked-SEQ_3262880-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_148178-processed-gene-0.1-mRNA-1	maker-SEQ_3143412-augustus-gene-0.2-mRNA-1	genemark-SEQ_1472845-processed-gene-0.0-mRNA-1	augustus_masked-SEQ_3623826-processed-gene-0.0-mRNA-1
